                              Open     High      Low    Close     upper  \
Date                                                                      
2023-02-10 02:30:00+00:00  1.07312  1.07315  1.07311  1.07312       NaN   
2023-02-10 02:31:00+00:00  1.07311  1.07325  1.07311  1.07320       NaN   
2023-02-10 02:32:00+00:00  1.07322  1.07322  1.07312  1.07317       NaN   
2023-02-10 02:33:00+00:00  1.07316  1.07320  1.07316  1.07316       NaN   
2023-02-10 02:34:00+00:00  1.07316  1.07324  1.07316  1.07323       NaN   
2023-02-10 02:35:00+00:00  1.07322  1.07325  1.07320  1.07320       NaN   
2023-02-10 02:36:00+00:00  1.07316  1.07322  1.07316  1.07317       NaN   
2023-02-10 02:37:00+00:00  1.07317  1.07322  1.07317  1.07321       NaN   
2023-02-10 02:38:00+00:00  1.07322  1.07326  1.07321  1.07326       NaN   
2023-02-10 02:39:00+00:00  1.07326  1.07326  1.07318  1.07322       NaN   
2023-02-10 02:40:00+00:00  1.07322  1.07322  1.07316  1.07317       NaN   
2023-02-10 02:41:00+00:00  1.07316  1.07321  1.07316  1.07318       NaN   
2023-02-10 02:42:00+00:00  1.07316  1.07318  1.07311  1.07312       NaN   
2023-02-10 02:43:00+00:00  1.07314  1.07320  1.07314  1.07320       NaN   
2023-02-10 02:44:00+00:00  1.07320  1.07321  1.07316  1.07320       NaN   
2023-02-10 02:45:00+00:00  1.07318  1.07320  1.07308  1.07310       NaN   
2023-02-10 02:46:00+00:00  1.07313  1.07316  1.07311  1.07311       NaN   
2023-02-10 02:47:00+00:00  1.07312  1.07319  1.07311  1.07316       NaN   
2023-02-10 02:48:00+00:00  1.07315  1.07315  1.07310  1.07312       NaN   
2023-02-10 02:49:00+00:00  1.07311  1.07314  1.07305  1.07305  1.073267   
2023-02-10 02:50:00+00:00  1.07305  1.07312  1.07305  1.07306  1.073273   
2023-02-10 02:51:00+00:00  1.07305  1.07308  1.07300  1.07302  1.073280   
2023-02-10 02:52:00+00:00  1.07301  1.07301  1.07290  1.07292  1.073304   
2023-02-10 02:53:00+00:00  1.07291  1.07292  1.07284  1.07289  1.073324   
2023-02-10 02:54:00+00:00  1.07290  1.07290  1.07282  1.07287  1.073331   
2023-02-10 02:55:00+00:00  1.07286  1.07290  1.07283  1.07286  1.073335   
2023-02-10 02:56:00+00:00  1.07288  1.07292  1.07286  1.07289  1.073334   
2023-02-10 02:57:00+00:00  1.07290  1.07290  1.07270  1.07274  1.073343   
2023-02-10 02:58:00+00:00  1.07275  1.07275  1.07269  1.07272  1.073336   
2023-02-10 02:59:00+00:00  1.07264  1.07264  1.07244  1.07252  1.073360   
2023-02-10 03:00:00+00:00  1.07252  1.07262  1.07239  1.07258  1.073363   
2023-02-10 03:01:00+00:00  1.07256  1.07258  1.07246  1.07256  1.073357   
2023-02-10 03:02:00+00:00  1.07257  1.07258  1.07231  1.07238  1.073374   
2023-02-10 03:03:00+00:00  1.07238  1.07238  1.07223  1.07238  1.073362   
2023-02-10 03:04:00+00:00  1.07240  1.07242  1.07232  1.07240  1.073334   
2023-02-10 03:05:00+00:00  1.07242  1.07248  1.07240  1.07244  1.073308   
2023-02-10 03:06:00+00:00  1.07244  1.07244  1.07236  1.07243  1.073273   
2023-02-10 03:07:00+00:00  1.07244  1.07259  1.07242  1.07259  1.073214   
2023-02-10 03:08:00+00:00  1.07258  1.07260  1.07246  1.07254  1.073155   
2023-02-10 03:09:00+00:00  1.07253  1.07254  1.07237  1.07239  1.073109   
2023-02-10 03:10:00+00:00  1.07242  1.07250  1.07240  1.07243  1.073048   
2023-02-10 03:11:00+00:00  1.07244  1.07252  1.07240  1.07242  1.072986   
2023-02-10 03:12:00+00:00  1.07242  1.07246  1.07238  1.07241  1.072939   
2023-02-10 03:13:00+00:00  1.07240  1.07240  1.07229  1.07231  1.072896   
2023-02-10 03:14:00+00:00  1.07230  1.07246  1.07230  1.07246  1.072843   
2023-02-10 03:15:00+00:00  1.07241  1.07244  1.07238  1.07241  1.072784   
2023-02-10 03:16:00+00:00  1.07244  1.07257  1.07244  1.07250  1.072701   
2023-02-10 03:17:00+00:00  1.07248  1.07251  1.07238  1.07238  1.072652   
2023-02-10 03:18:00+00:00  1.07238  1.07241  1.07235  1.07238  1.072597   
2023-02-10 03:19:00+00:00  1.07238  1.07242  1.07234  1.07235  1.072589   
2023-02-10 03:20:00+00:00  1.07236  1.07241  1.07231  1.07232  1.072570   
2023-02-10 03:21:00+00:00  1.07232  1.07232  1.07222  1.07222  1.072564   
2023-02-10 03:22:00+00:00  1.07222  1.07226  1.07220  1.07223  1.072574   
